epoch,accuracy,loss,val_accuracy,val_loss
0,0.9112687110900879,0.2239338300846241,0.48582231998443604,0.7073231020211121
1,0.9834515452384949,0.06329365928310217,0.514177680015564,0.6696662430727189
2,0.985027551651001,0.06210803847504564,0.699432909488678,0.6003702600271205
3,0.9873916506767273,0.05359245290769847,0.9420289993286133,0.17933779402806763
4,0.9889677166938782,0.04615165599518352,0.48582231998443604,3.691216150919596
5,0.9839243292808533,0.06201552698657304,0.48582231998443604,2.428437734596671
6,0.9888100624084473,0.049687062465740624,0.48582231998443604,5.0401452130015425
7,0.9779353737831116,0.0825819513316496,0.48582231998443604,6.0246644107215275
8,0.9776201844215393,0.07557426638918847,0.14744801819324493,2.9656859987099065
9,0.9889677166938782,0.05097659734981186,0.48582231998443604,2.105060316739626
10,0.991962194442749,0.03758735013017512,0.48582231998443604,3.8404140766867316
11,0.9908589720726013,0.04071153973187397,0.48582231998443604,4.675124571619352
12,0.9921197891235352,0.03709252229807319,0.48582231998443604,3.8389695539516553
13,0.9924349784851074,0.03605941758557884,0.48582231998443604,2.0777192399722644
14,0.9891253113746643,0.03912291459745079,0.48582231998443604,5.255511159181745
15,0.991646945476532,0.032188398944664603,0.08380592614412308,4.3063190186181455
16,0.9774625897407532,0.08360866936198175,0.48582231998443604,1.9407650844511477
17,0.9843971729278564,0.05815286322594441,0.48582231998443604,87676.19604107593
18,0.9877068400382996,0.05003802800643529,0.48582231998443604,2645.4302171636245
