,precision,recall,f1-score,support
0,0.9002601908065915,0.9961612284069098,0.9457858769931662,1042.0
1,0.9951807228915662,0.8777895855472901,0.932806324110672,941.0
accuracy,0.9399899142713061,0.9399899142713061,0.9399899142713061,0.9399899142713061
macro avg,0.9477204568490789,0.9369754069770999,0.9392961005519191,1983.0
weighted avg,0.9453031664455027,0.9399899142713061,0.9396266438804949,1983.0
