,precision,recall,f1-score,support
0,0.8734283319362951,1.0,0.9324384787472036,1042.0
1,1.0,0.8395324123273114,0.9127671865973426,941.0
accuracy,0.9238527483610691,0.9238527483610691,0.9238527483610691,0.9238527483610691
macro avg,0.9367141659681475,0.9197662061636557,0.922602832672273,1983.0
weighted avg,0.9334908330194753,0.9238527483610691,0.9231037909443699,1983.0
